
-1,Centipede (Wheeled Fusion),<img src="https://s3-us-west-2.amazonaws.com/mul-images/blank.png" height="30" width="30" />,,TR3025,Vee,TR3025,,Catalyst Game Labs,,-1,-1
-1,Centipede (Wheeled ICE),<img src="https://s3-us-west-2.amazonaws.com/mul-images/blank.png" height="30" width="30" />,,TR3025,Vee,TR3025,,Catalyst Game Labs,,-1,-1
-1,Command Van (Fusion),<img src="https://s3-us-west-2.amazonaws.com/mul-images/blank.png" height="30" width="30" />,ES,MW1e,Vee,MW1e,,Catalyst Game Labs,,-1,-1
-1,Command Van (Standard),<img src="https://s3-us-west-2.amazonaws.com/mul-images/blank.png" height="30" width="30" />,ES,MW1e,Vee,MW1e,,Catalyst Game Labs,,-1,-1
-1,Ground Car (Standard),<img src="https://s3-us-west-2.amazonaws.com/mul-images/blank.png" height="30" width="30" />,ES,MW1e,Vee,MW1e,,Catalyst Game Labs,55,-1,-1
-1,Heavy Hover APC (Primitive LRM),<img src="https://s3.amazonaws.com/cso-images/Era/starleague_on.png" height="30" width="30" />,2400,TR3060,Vee,TR3060,,Catalyst Game Labs,,-1,-1
-1,Heavy Transport B1,<img src="https://s3-us-west-2.amazonaws.com/mul-images/blank.png" height="30" width="30" />,ES,MW1e,Vee,MW1e,,Catalyst Game Labs,,-1,-1
-1,Heavy Transport B1 (MG),<img src="https://s3-us-west-2.amazonaws.com/mul-images/blank.png" height="30" width="30" />,ES,MW1e,Vee,MW1e,,Catalyst Game Labs,,-1,-1
-1,Heavy Transport B1 (SL),<img src="https://s3.amazonaws.com/cso-images/Era/starleague_on.png" height="30" width="30" />,2400,MW1e,Vee,MW1e,,Catalyst Game Labs,,-1,-1
-1,Heavy Transport B1 (SRM),<img src="https://s3.amazonaws.com/cso-images/Era/starleague_on.png" height="30" width="30" />,2370,MW1e,Vee,MW1e,,Catalyst Game Labs,,-1,-1
-1,Hover Scout (Standard),<img src="https://s3.amazonaws.com/cso-images/Era/successionwar_on.png" height="30" width="30" />,2801,RS5,Vee,RS5,,Catalyst Game Labs,189,-1,-1
-1,Jeep (MG),<img src="https://s3-us-west-2.amazonaws.com/mul-images/blank.png" height="30" width="30" />,ES,MW1e,Vee,MW1e,,Catalyst Game Labs,,-1,-1
-1,Jeep (SRM),<img src="https://s3.amazonaws.com/cso-images/Era/starleague_on.png" height="30" width="30" />,2370,MW1e,Vee,MW1e,,Catalyst Game Labs,,-1,-1
-1,Jeep (Standard),<img src="https://s3-us-west-2.amazonaws.com/mul-images/blank.png" height="30" width="30" />,ES,MW1e,Vee,MW1e,,Catalyst Game Labs,78,-1,-1
